CI_Name,CI_Cat,CI_Subcat,Incident_ID,Status,Impact,Urgency,Priority,Category,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,No_of_Related_Incidents,No_of_Related_Changes,Region,Network_Type,Incident Description,Was_Reopened
WBA000124,application,Web Based Application,IM0000058,Closed,4,4,4.0,incident,closed,2.0,26-02-2013 16:44,,12-11-2013 13:40,12-11-2013 13:40,"61,125",Other,1.0,,,EMEA,Fiber Network,impacting application services | telecom disruption identified | Fiber Network packet loss affecting telecom traffic | requires infrastructure verification | telecom workflow activity detected,0
WBA000124,application,Web Based Application,IM0000059,Closed,4,4,4.0,incident,closed,2.0,28-02-2013 12:23,03-12-2013 08:57,03-12-2013 10:36,03-12-2013 10:36,"8,86,71,66,667",Other,2.0,,,APAC,VPN Service,VPN Service service degradation impacting users | telecom workflow activity detected | critical operational issue detected | awaiting operational confirmation | impacting application services,1
WBA000133,application,Web Based Application,IM0000060,Closed,4,4,4.0,incident,closed,0.0,28-02-2013 16:49,,20-11-2013 16:38,20-11-2013 16:38,"1,91,71,75,278",No error - works as designed,1.0,,,APAC,Fiber Network,urgent investigation required for telecom disruption | requires infrastructure verification | ongoing operational activity observed | Fiber Network service degradation impacting users | impacting application services,0
SUB000431,subapplication,Web Based Application,IM0000061,Closed,5,5,5.0,request for information,closed,3.0,01-03-2013 10:19,24-01-2014 15:20,,27-01-2014 12:44,"23,33",Software,2.0,,,LATAM,Fiber Network,impacting subapplication services | guidance required regarding network instability | ongoing operational activity observed | monitoring ongoing service issue | Fiber Network service degradation impacting users,1
SUB000508,subapplication,Web Based Application,IM0000062,Closed,4,4,4.0,incident,closed,2.0,04-03-2013 12:31,,08-11-2013 15:33,08-11-2013 15:33,"4,91,11,66,667",No error - works as designed,1.0,,,NAM,Wireless Network,telecom ticket under investigation | Wireless Network network slowdown affecting enterprise traffic | active outage affecting telecom services | further network analysis required | impacting subapplication services,0
WBA000124,application,Web Based Application,IM0000064,Closed,3,3,3.0,incident,closed,4.0,05-03-2013 13:58,,08-11-2013 15:35,08-11-2013 15:35,"2,16,22,22,222",Software,1.0,,2.0,EMEA,Core Network,network operations monitoring update | impacting application services | service instability reported | Core Network network latency impacting operations | further network analysis required,0
SBA000314,application,Server Based Application,IM0000067,Closed,5,5,5.0,incident,closed,25.0,11-03-2013 09:08,08-10-2013 09:14,09-10-2013 13:41,09-10-2013 13:41,"8,73,98,05,556",Other,2.0,,,APAC,Core Network,impacting application services | network degradation impacting enterprise traffic | ticket escalated to telecom support | telecom workflow activity detected | Core Network traffic congestion affecting node performance | ticket reassigned across multiple teams,1
SUB000508,subapplication,Web Based Application,IM0000068,Closed,4,4,4.0,incident,closed,8.0,12-03-2013 09:54,,08-11-2013 15:34,08-11-2013 15:34,"3,19,78,94,444",No error - works as designed,1.0,,,APAC,Core Network,impacting subapplication services | Core Network connectivity fluctuations under investigation | monitoring ongoing service issue | telecom workflow activity detected | request raised for outage escalation support,0
WBA000124,application,Web Based Application,IM0000071,Closed,4,4,4.0,incident,closed,4.0,15-03-2013 15:25,03-01-2014 14:14,06-01-2014 11:50,06-01-2014 11:51,"1,92,23,61,111",Other,2.0,,,EMEA,Fiber Network,impacting application services | network operations monitoring update | Fiber Network network slowdown affecting enterprise traffic | monitoring ongoing service issue | urgent investigation required for telecom disruption,1
SAP000005,application,SAP,IM0000073,Closed,5,5,5.0,request for information,closed,30.0,21-03-2013 14:54,,01-10-2013 07:52,01-10-2013 07:52,"6,83,96,30,556",Other,1.0,,,EMEA,Wireless Network,engineering review in progress | ticket reassigned across multiple teams | ongoing operational activity observed | Wireless Network routing instability detected in network | guidance required regarding network instability | impacting application services,0
SUB000508,subapplication,Web Based Application,IM0000074,Closed,3,3,3.0,incident,closed,15.0,26-03-2013 12:23,24-03-2014 12:35,24-03-2014 13:28,24-03-2014 13:28,"1,56,41,90,278",Other,2.0,1.0,1.0,APAC,Fiber Network,impacting subapplication services | clarification needed for ongoing connectivity issue | Fiber Network network slowdown affecting enterprise traffic | ongoing operational activity observed | monitoring ongoing service issue | ticket reassigned across multiple teams,1
SUB000456,subapplication,Web Based Application,IM0000075,Closed,4,4,4.0,incident,closed,9.0,27-03-2013 10:07,10-04-2013 09:15,30-12-2013 10:34,30-12-2013 10:36,"37,655",Data,3.0,1.0,,EMEA,5G Network,telecom workflow activity detected | network degradation impacting enterprise traffic | 5G Network packet loss affecting telecom traffic | impacting subapplication services | engineering review in progress,1
SAP000004,application,SAP,IM0000078,Closed,5,5,5.0,request for information,closed,37.0,03-04-2013 12:11,,17-10-2013 11:43,17-10-2013 11:43,"1,45,90,33,333",Software,1.0,,,APAC,5G Network,5G Network connectivity fluctuations under investigation | service instability reported | ticket reassigned across multiple teams | requires infrastructure verification | ongoing operational activity observed | impacting application services,0
SAP000003,application,SAP,IM0000080,Closed,4,4,4.0,incident,closed,26.0,04-04-2013 12:33,21-10-2013 08:50,16-01-2014 14:20,16-01-2014 14:21,"1,80,62,78,611",Other,2.0,,,APAC,Fiber Network,impacting application services | telecom workflow activity detected | Fiber Network vpn disruption affecting connectivity | ticket reassigned across multiple teams | engineering review in progress | requesting update regarding ongoing issue,1
SBA000462,application,Server Based Application,IM0000081,Closed,4,3,3.0,incident,closed,7.0,05-04-2013 10:17,,30-12-2013 10:39,30-12-2013 10:40,"1,92,41,11,111",Other,1.0,,,APAC,5G Network,monitoring ongoing service issue | impacting application services | 5G Network telecom outage impacting regional services | urgent investigation required for telecom disruption | network operations monitoring update,0
WBA000133,application,Web Based Application,IM0000082,Closed,4,4,4.0,incident,closed,6.0,05-04-2013 10:19,18-11-2013 09:46,05-12-2013 12:00,05-12-2013 12:00,"122,32",Other,2.0,,,APAC,Mobile Core,ticket escalated to telecom support | impacting application services | network issue impacting operations | Mobile Core intermittent wireless instability observed | ongoing operational activity observed,1
WBA000124,application,Web Based Application,IM0000083,Closed,4,4,4.0,incident,closed,2.0,09-04-2013 12:49,,08-11-2013 15:36,08-11-2013 15:36,"1,77,86,91,667",Software,1.0,,,NAM,Fiber Network,telecom ticket under investigation | monitoring ongoing service issue | Fiber Network network latency impacting operations | impacting application services | critical operational issue detected,0
WBA000082,application,Web Based Application,IM0000084,Closed,4,4,4.0,incident,closed,4.0,10-04-2013 13:20,,08-11-2013 15:41,08-11-2013 15:41,"1,56,68,525",No error - works as designed,1.0,,,APAC,Wireless Network,service instability reported | Wireless Network telecom outage impacting regional services | telecom ticket under investigation | ticket escalated to telecom support | impacting application services,0
WBA000124,application,Web Based Application,IM0000085,Closed,3,4,3.0,incident,closed,4.0,10-04-2013 15:13,,08-11-2013 15:46,08-11-2013 15:46,"1,57,55,43,889",No error - works as designed,1.0,,,APAC,Wireless Network,telecom disruption identified | awaiting operational confirmation | network operations monitoring update | impacting application services | Wireless Network routing instability detected in network,0
SAP000004,application,SAP,IM0000088,Closed,5,5,5.0,request for information,closed,32.0,16-04-2013 11:07,12-11-2013 12:04,12-11-2013 12:13,12-11-2013 12:13,"7,06,115",Other,2.0,1.0,,APAC,VPN Service,network operations monitoring update | awaiting operational confirmation | ticket reassigned across multiple teams | impacting application services | request raised for operational review | VPN Service intermittent wireless instability observed,1
CBA000014,application,Client Based Application,IM0000089,Closed,4,4,4.0,incident,closed,9.0,16-04-2013 14:51,,27-11-2013 14:23,27-11-2013 14:23,"1,63,86,33,056",Software,14.0,1.0,,NAM,5G Network,5G Network vpn disruption affecting connectivity | telecom ticket under investigation | impacting application services | issue under telecom investigation | clarification needed for ongoing connectivity issue,0
SBA000045,application,Server Based Application,IM0000090,Closed,5,5,5.0,incident,closed,1.0,17-04-2013 09:06,,22-01-2014 16:19,22-01-2014 16:20,"21,97",Unknown,1.0,1.0,1.0,EMEA,Wireless Network,network operations monitoring update | impacting application services | Wireless Network traffic congestion affecting node performance | monitoring ongoing service issue | requesting update regarding ongoing issue,0
SBA000172,application,Server Based Application,IM0000091,Closed,4,4,4.0,incident,closed,1.0,17-04-2013 14:31,,08-10-2013 11:19,08-10-2013 11:25,"1,39,05,55,556",Other,1.0,,,EMEA,Wireless Network,Wireless Network intermittent wireless instability observed | impacting application services | ongoing operational activity observed | telecom disruption identified | awaiting operational confirmation,0
SBA000607,application,Server Based Application,IM0000092,Closed,5,5,5.0,request for information,closed,12.0,17-04-2013 16:20,,30-01-2014 09:19,30-01-2014 09:19,"1,04,21,09,167",Other,1.0,1.0,,APAC,Core Network,ticket reassigned across multiple teams | request raised for operational review | network operations monitoring update | Core Network connectivity fluctuations under investigation | engineering review in progress | impacting application services,0
SUB000002,subapplication,Citrix,IM0000094,Closed,4,4,4.0,incident,closed,4.0,19-04-2013 08:26,,16-10-2013 12:20,16-10-2013 12:20,"1,32,69,03,056",Software,2.0,,,LATAM,Wireless Network,Wireless Network telecom outage impacting regional services | awaiting operational confirmation | telecom workflow activity detected | active outage affecting telecom services | impacting subapplication services,0
STA000033,application,Standard Application,IM0000095,Closed,4,4,4.0,incident,closed,8.0,22-04-2013 12:07,,29-01-2014 15:31,29-01-2014 15:31,"2,08,24,08,889",Software,1.0,,,APAC,5G Network,5G Network packet loss affecting telecom traffic | engineering review in progress | impacting application services | urgent investigation required for telecom disruption | telecom ticket under investigation,0
WBA000133,application,Web Based Application,IM0000098,Closed,4,5,4.0,incident,closed,1.0,24-04-2013 15:24,,12-10-2013 16:28,12-10-2013 16:28,"1,25,20,89,167",Other,1.0,,,APAC,Core Network,Core Network intermittent wireless instability observed | issue under telecom investigation | network issue impacting operations | ongoing operational activity observed | impacting application services,0
SBA000782,application,Server Based Application,IM0000099,Closed,3,3,3.0,incident,closed,1.0,25-04-2013 10:20,,09-12-2013 14:32,09-12-2013 14:32,"1,68,42,07,778",Other,1.0,,,APAC,Core Network,issue under telecom investigation | telecom workflow activity detected | service instability reported | impacting application services | Core Network traffic congestion affecting node performance,0
WBA000124,application,Web Based Application,IM0000100,Closed,4,4,4.0,incident,closed,8.0,25-04-2013 14:37,,12-11-2013 13:32,12-11-2013 13:32,"61,785",Other,1.0,1.0,,APAC,Core Network,Core Network routing instability detected in network | ticket escalated to telecom support | impacting application services | request raised for outage escalation support | ongoing operational activity observed,0
WBA000116,application,Web Based Application,IM0000101,Closed,4,4,4.0,incident,closed,2.0,25-04-2013 14:51,,12-11-2013 13:25,12-11-2013 13:26,"1,47,90,86,111",Hardware,1.0,,,EMEA,Wireless Network,impacting application services | network degradation impacting enterprise traffic | Wireless Network traffic congestion affecting node performance | telecom workflow activity detected | engineering review in progress,0
WBA000124,application,Web Based Application,IM0000103,Closed,4,4,4.0,incident,closed,4.0,26-04-2013 15:33,,12-11-2013 13:33,12-11-2013 13:33,"1,46,80,05,278",Other,1.0,,,EMEA,Fiber Network,active outage affecting telecom services | Fiber Network routing instability detected in network | impacting application services | requires infrastructure verification | telecom workflow activity detected,0
WBA000124,application,Web Based Application,IM0000104,Closed,4,4,4.0,incident,closed,4.0,01-05-2013 11:47,,12-11-2013 13:34,12-11-2013 13:34,"2,53,44,44,444",Other,1.0,,,APAC,Core Network,impacting application services | Core Network service degradation impacting users | telecom ticket under investigation | urgent investigation required for telecom disruption | engineering review in progress,0
WBA000124,application,Web Based Application,IM0000105,Closed,5,5,5.0,incident,closed,9.0,03-05-2013 12:00,,09-01-2014 14:27,09-01-2014 14:27,"5,57,83,27,778",Software,1.0,,,APAC,Fiber Network,ongoing operational activity observed | impacting application services | request raised for outage escalation support | further network analysis required | Fiber Network connectivity fluctuations under investigation,0
SUB000508,subapplication,Web Based Application,IM0000106,Closed,4,4,4.0,incident,closed,4.0,06-05-2013 10:11,,12-11-2013 13:35,12-11-2013 13:35,"1,75,44,44,444",Other,1.0,,,APAC,Core Network,network operations monitoring update | Core Network telecom outage impacting regional services | active outage affecting telecom services | issue under telecom investigation | impacting subapplication services,0
WBA000124,application,Web Based Application,IM0000107,Closed,4,4,4.0,incident,closed,2.0,06-05-2013 13:50,,12-11-2013 14:03,12-11-2013 14:03,"1,40,72,19,722",Unknown,1.0,,,NAM,VPN Service,VPN Service vpn disruption affecting connectivity | request raised for outage escalation support | monitoring ongoing service issue | telecom ticket under investigation | impacting application services,0
SBA000458,application,Server Based Application,IM0000109,Closed,4,4,4.0,incident,closed,8.0,07-05-2013 11:44,,20-12-2013 15:33,20-12-2013 15:33,"1,57,04,09,167",Other,1.0,,,APAC,5G Network,5G Network network slowdown affecting enterprise traffic | urgent investigation required for telecom disruption | ongoing operational activity observed | awaiting operational confirmation | impacting application services,0
SBA000033,application,Server Based Application,IM0000110,Closed,4,4,4.0,incident,closed,3.0,07-05-2013 11:44,,07-01-2014 09:50,07-01-2014 09:50,"3,56,83,33,333",No error - works as designed,1.0,,,EMEA,Wireless Network,impacting application services | Wireless Network network slowdown affecting enterprise traffic | ongoing operational activity observed | engineering review in progress | urgent investigation required for telecom disruption,0
WBA000124,application,Web Based Application,IM0000111,Closed,4,4,4.0,incident,closed,13.0,07-05-2013 14:04,,05-12-2013 11:19,05-12-2013 11:19,"1,49,50,71,111",Other,1.0,,,NAM,Mobile Core,Mobile Core network latency impacting operations | issue under telecom investigation | ticket reassigned across multiple teams | network operations monitoring update | telecom disruption identified | impacting application services,0
CBA000014,application,Client Based Application,IM0000112,Closed,5,5,5.0,incident,closed,15.0,07-05-2013 15:04,17-05-2013 09:08,,09-12-2013 08:42,"1,24,86,74,444",Other,2.0,,,NAM,Wireless Network,requires infrastructure verification | clarification needed for ongoing connectivity issue | impacting application services | ticket reassigned across multiple teams | Wireless Network intermittent wireless instability observed | telecom workflow activity detected,1
WBA000124,application,Web Based Application,IM0000113,Closed,4,4,4.0,incident,closed,8.0,07-05-2013 15:12,,05-12-2013 11:15,05-12-2013 11:16,"6,09,40,80,556",Other,1.0,1.0,,EMEA,Wireless Network,ongoing operational activity observed | impacting application services | critical operational issue detected | requires infrastructure verification | Wireless Network telecom outage impacting regional services,0
SBA000263,application,Server Based Application,IM0000114,Closed,5,5,5.0,request for information,closed,8.0,10-05-2013 11:04,10-10-2013 14:48,21-10-2013 11:48,21-10-2013 11:48,"1,99,82,61,111",Other,2.0,,,NAM,5G Network,5G Network packet loss affecting telecom traffic | ongoing operational activity observed | requesting update regarding ongoing issue | impacting application services | engineering review in progress,1
WBA000124,application,Web Based Application,IM0000115,Closed,3,3,3.0,incident,closed,2.0,13-05-2013 11:19,,12-11-2013 13:38,12-11-2013 13:39,"3,37,09,72,222",Other,1.0,,,NAM,Mobile Core,telecom workflow activity detected | Mobile Core network latency impacting operations | awaiting operational confirmation | impacting application services | request raised for outage escalation support,0
WBA000024,application,Web Based Application,IM0000117,Closed,4,4,4.0,incident,closed,7.0,15-05-2013 12:34,05-03-2014 08:34,05-03-2014 08:34,05-03-2014 08:34,"5,01,33,88,889",Software,2.0,,,EMEA,Fiber Network,network operations monitoring update | Fiber Network network latency impacting operations | impacting application services | monitoring ongoing service issue | request raised for outage escalation support,1
SBA000765,application,Server Based Application,IM0000120,Closed,3,3,3.0,incident,closed,6.0,22-05-2013 00:42,22-05-2013 15:27,,17-01-2014 15:00,"1,77,59,11,667",Unknown,1.0,,,APAC,Fiber Network,Fiber Network network latency impacting operations | network operations monitoring update | telecom disruption identified | impacting application services | ticket escalated to telecom support,1
WBA000124,application,Web Based Application,IM0000121,Closed,4,4,4.0,incident,closed,2.0,22-05-2013 10:09,,12-11-2013 13:36,12-11-2013 13:36,"1,30,54,62,778",Other,1.0,,,EMEA,Wireless Network,service instability reported | further network analysis required | Wireless Network vpn disruption affecting connectivity | network operations monitoring update | impacting application services,0
SBA000834,application,Server Based Application,IM0000122,Closed,4,4,4.0,incident,closed,22.0,22-05-2013 11:21,12-08-2013 10:16,,14-10-2013 14:15,"8,25,10,83,333",Other,7.0,,,EMEA,Core Network,network issue impacting operations | requires infrastructure verification | ticket reassigned across multiple teams | ongoing operational activity observed | impacting application services | Core Network intermittent wireless instability observed,1
