CI_Name,CI_Cat,CI_Subcat,Incident_ID,Status,Impact,Urgency,Priority,Category,Alert_Status,No_of_Reassignments,Open_Time,Reopen_Time,Resolved_Time,Close_Time,Handle_Time_hrs,Closure_Code,No_of_Related_Interactions,No_of_Related_Incidents,No_of_Related_Changes,Region,Network_Type,Incident Description,Was_Reopened,Open_Month,Open_DayOfWeek,Open_Hour,Resolution_Time_Hours
WBA000124,application,Web Based Application,IM0000019,Closed,4,4,4.0,incident,closed,6.0,2012-09-21 12:56:00,,2013-11-08 14:23:00,2013-11-08 14:23:00,,Software,1.0,,1.0,APAC,VPN Service,ongoing operational activity observed | VPN Service connectivity fluctuations under investigation | impacting application services | ticket escalated to telecom support | telecom disruption identified,0,9,Friday,12,9913.45
WBA000124,application,Web Based Application,IM0000020,Closed,4,4,4.0,incident,closed,8.0,2012-10-01 10:49:00,,2013-11-08 14:18:00,2013-11-08 14:22:00,,Software,1.0,,,NAM,Wireless Network,ongoing operational activity observed | request raised for outage escalation support | engineering review in progress | impacting application services | Wireless Network intermittent wireless instability observed,0,10,Monday,10,9675.55
WBA000082,application,Web Based Application,IM0000021,Closed,4,4,4.0,incident,closed,5.0,2012-10-02 12:12:00,2014-01-28 14:07:00,2014-02-04 09:38:00,2014-02-04 09:38:00,,Software,2.0,,,APAC,VPN Service,network operations monitoring update | urgent investigation required for telecom disruption | impacting application services | VPN Service intermittent wireless instability observed | issue under telecom investigation,1,10,Tuesday,12,11757.433333333332
WBA000124,application,Web Based Application,IM0000022,Closed,4,4,4.0,incident,closed,17.0,2012-10-15 15:50:00,,,2013-11-14 13:33:00,,Software,1.0,2.0,,APAC,5G Network,network issue impacting operations | telecom workflow activity detected | impacting application services | issue under telecom investigation | ticket reassigned across multiple teams | 5G Network routing instability detected in network,0,10,Monday,15,9477.716666666667
SBA000698,application,Server Based Application,IM0000023,Closed,3,3,3.0,incident,closed,1.0,2012-10-18 14:33:00,,2013-12-12 10:23:00,2013-12-12 10:24:00,,Data,1.0,,,EMEA,VPN Service,active outage affecting telecom services | ticket escalated to telecom support | telecom ticket under investigation | impacting application services | VPN Service network latency impacting operations,0,10,Thursday,14,10075.85
WBA000082,application,Web Based Application,IM0000024,Closed,4,4,4.0,incident,closed,3.0,2012-10-23 12:01:00,,2013-11-08 14:57:00,2013-11-08 14:58:00,,Other,1.0,2.0,,EMEA,5G Network,impacting application services | 5G Network service degradation impacting users | urgent investigation required for telecom disruption | network operations monitoring update | monitoring ongoing service issue,0,10,Tuesday,12,9146.95
SUB000539,subapplication,Web Based Application,IM0000028,Closed,4,4,4.0,incident,closed,1.0,2012-11-21 11:53:00,,2013-12-20 11:30:00,2013-12-20 11:31:00,,Other,1.0,,,EMEA,5G Network,impacting subapplication services | issue under telecom investigation | critical operational issue detected | 5G Network intermittent wireless instability observed | telecom ticket under investigation,0,11,Wednesday,11,9455.633333333333
SUB000535,subapplication,Web Based Application,IM0000031,Closed,4,4,4.0,incident,closed,7.0,2012-12-05 15:17:00,,2013-10-30 08:45:00,2013-10-30 08:45:00,,Unknown,1.0,,,APAC,Wireless Network,request raised for outage escalation support | telecom ticket under investigation | Wireless Network network slowdown affecting enterprise traffic | impacting subapplication services | awaiting operational confirmation,0,12,Wednesday,15,7889.466666666666
DTA000616,application,Desktop Application,IM0000033,Closed,3,3,3.0,incident,closed,17.0,2012-12-07 14:34:00,,2013-11-30 10:39:00,2013-11-30 10:39:00,,Other,2.0,,,NAM,VPN Service,issue under telecom investigation | telecom ticket under investigation | ticket reassigned across multiple teams | VPN Service connectivity fluctuations under investigation | impacting application services | active outage affecting telecom services,0,12,Friday,14,8588.083333333334
WBA000082,application,Web Based Application,IM0000034,Closed,5,5,5.0,incident,closed,5.0,2012-12-10 14:44:00,2014-02-11 14:50:00,2014-03-28 14:20:00,2014-03-28 14:20:00,,Other,2.0,,,EMEA,Core Network,monitoring ongoing service issue | network issue impacting operations | impacting application services | ongoing operational activity observed | Core Network traffic congestion affecting node performance,1,12,Monday,14,11351.6
WBA000124,application,Web Based Application,IM0000035,Closed,4,4,4.0,incident,closed,6.0,2012-12-24 16:31:00,,2013-11-14 09:49:00,2013-11-14 09:49:00,,Referred,1.0,2.0,,APAC,Wireless Network,critical operational issue detected | telecom ticket under investigation | Wireless Network vpn disruption affecting connectivity | impacting application services | awaiting operational confirmation,0,12,Monday,16,7793.3
WBA000116,application,Web Based Application,IM0000038,Closed,4,4,4.0,incident,closed,4.0,2013-01-15 15:36:00,,2014-01-29 15:01:00,2014-01-29 15:01:00,,Software,1.0,1.0,,EMEA,Core Network,requires infrastructure verification | Core Network network slowdown affecting enterprise traffic | telecom ticket under investigation | impacting application services | network issue impacting operations,0,1,Tuesday,15,9095.416666666666
WBA000124,application,Web Based Application,IM0000041,Closed,4,4,4.0,incident,closed,2.0,2013-01-22 16:38:00,,2013-11-08 14:55:00,2013-11-08 14:55:00,,Other,1.0,,,EMEA,Mobile Core,ongoing operational activity observed | ticket escalated to telecom support | network issue impacting operations | Mobile Core telecom outage impacting regional services | impacting application services,0,1,Tuesday,16,6958.283333333334
WBA000124,application,Web Based Application,IM0000042,Closed,4,4,4.0,incident,closed,12.0,2013-01-23 14:39:00,,2013-11-08 15:21:00,2013-11-08 15:22:00,,No error - works as designed,1.0,,,LATAM,Mobile Core,ongoing operational activity observed | ticket reassigned across multiple teams | requires infrastructure verification | Mobile Core connectivity fluctuations under investigation | impacting application services | request raised for outage escalation support,0,1,Wednesday,14,6936.716666666666
SUB000535,subapplication,Web Based Application,IM0000045,Closed,4,4,4.0,incident,closed,7.0,2013-01-30 16:37:00,,2014-01-27 12:33:00,2014-01-27 12:33:00,,Software,1.0,,,NAM,Fiber Network,service instability reported | Fiber Network network latency impacting operations | impacting subapplication services | engineering review in progress | telecom workflow activity detected,0,1,Wednesday,16,8683.933333333332
SUB000535,subapplication,Web Based Application,IM0000046,Closed,4,4,4.0,incident,closed,3.0,2013-01-31 17:27:00,,2014-02-12 09:05:00,2014-02-12 09:05:00,,Other,1.0,1.0,,NAM,Mobile Core,telecom disruption identified | network operations monitoring update | monitoring ongoing service issue | impacting subapplication services | Mobile Core connectivity fluctuations under investigation,0,1,Thursday,17,9039.633333333333
WBA000082,application,Web Based Application,IM0000047,Closed,4,4,4.0,incident,closed,4.0,2013-02-04 14:38:00,,2014-01-02 15:22:00,2014-01-02 15:22:00,,Other,1.0,,,NAM,Core Network,awaiting operational confirmation | telecom ticket under investigation | critical operational issue detected | Core Network routing instability detected in network | impacting application services,0,2,Monday,14,7968.733333333334
SBA000662,application,Server Based Application,IM0000048,Closed,5,5,5.0,request for information,closed,0.0,2013-02-06 14:07:00,2013-10-17 12:22:00,2013-10-17 14:00:00,2013-10-17 14:00:00,,No error - works as designed,2.0,,,APAC,Mobile Core,awaiting operational confirmation | impacting application services | telecom workflow activity detected | clarification needed for ongoing connectivity issue | Mobile Core packet loss affecting telecom traffic,1,2,Wednesday,14,6071.883333333333
SBA000607,application,Server Based Application,IM0000049,Closed,5,5,5.0,request for information,closed,11.0,2013-02-08 10:47:00,,2013-10-17 15:40:00,2013-10-17 15:40:00,,Other,1.0,,,LATAM,5G Network,ticket reassigned across multiple teams | telecom workflow activity detected | 5G Network connectivity fluctuations under investigation | need clarification regarding service behavior | ticket escalated to telecom support | impacting application services,0,2,Friday,10,6028.883333333333
SBA000263,application,Server Based Application,IM0000053,Closed,5,5,5.0,request for information,closed,2.0,2013-02-18 11:59:00,2013-12-04 13:58:00,,2013-12-04 14:00:00,,Other,2.0,,,APAC,Core Network,monitoring ongoing service issue | guidance required regarding network instability | telecom workflow activity detected | Core Network packet loss affecting telecom traffic | impacting application services,1,2,Monday,11,6938.016666666666
WBA000124,application,Web Based Application,IM0000055,Closed,4,4,4.0,incident,closed,9.0,2013-02-19 11:52:00,,2013-12-23 13:03:00,2013-12-23 13:04:00,2050.36,Other,1.0,,,NAM,VPN Service,telecom disruption identified | telecom ticket under investigation | VPN Service vpn disruption affecting connectivity | impacting application services | monitoring ongoing service issue,0,2,Tuesday,11,7369.2
WBA000124,application,Web Based Application,IM0000056,Closed,4,4,4.0,incident,closed,2.0,2013-02-20 10:14:00,,2013-11-08 13:56:00,2013-11-08 13:57:00,,Other,1.0,,,EMEA,Mobile Core,Mobile Core intermittent wireless instability observed | telecom ticket under investigation | impacting application services | requires infrastructure verification | telecom disruption identified,0,2,Wednesday,10,6267.716666666666
SUB000433,subapplication,Web Based Application,IM0000057,Closed,4,4,4.0,incident,closed,1.0,2013-02-25 16:03:00,,2014-03-12 10:15:00,2014-03-12 10:16:00,,Other,3.0,,,EMEA,Fiber Network,ticket escalated to telecom support | Fiber Network routing instability detected in network | network operations monitoring update | impacting subapplication services | critical operational issue detected,0,2,Monday,16,9114.216666666667
WBA000124,application,Web Based Application,IM0000058,Closed,4,4,4.0,incident,closed,2.0,2013-02-26 16:44:00,,2013-11-12 13:40:00,2013-11-12 13:40:00,61.125,Other,1.0,,,EMEA,Fiber Network,impacting application services | telecom disruption identified | Fiber Network packet loss affecting telecom traffic | requires infrastructure verification | telecom workflow activity detected,0,2,Tuesday,16,6212.933333333333
WBA000124,application,Web Based Application,IM0000059,Closed,4,4,4.0,incident,closed,2.0,2013-02-28 12:23:00,2013-12-03 08:57:00,2013-12-03 10:36:00,2013-12-03 10:36:00,,Other,2.0,,,APAC,VPN Service,VPN Service service degradation impacting users | telecom workflow activity detected | critical operational issue detected | awaiting operational confirmation | impacting application services,1,2,Thursday,12,6670.216666666666
WBA000133,application,Web Based Application,IM0000060,Closed,4,4,4.0,incident,closed,0.0,2013-02-28 16:49:00,,2013-11-20 16:38:00,2013-11-20 16:38:00,,No error - works as designed,1.0,,,APAC,Fiber Network,urgent investigation required for telecom disruption | requires infrastructure verification | ongoing operational activity observed | Fiber Network service degradation impacting users | impacting application services,0,2,Thursday,16,6359.816666666667
SUB000431,subapplication,Web Based Application,IM0000061,Closed,5,5,5.0,request for information,closed,3.0,2013-03-01 10:19:00,2014-01-24 15:20:00,,2014-01-27 12:44:00,23.33,Software,2.0,,,LATAM,Fiber Network,impacting subapplication services | guidance required regarding network instability | ongoing operational activity observed | monitoring ongoing service issue | Fiber Network service degradation impacting users,1,3,Friday,10,7970.416666666667
SUB000508,subapplication,Web Based Application,IM0000062,Closed,4,4,4.0,incident,closed,2.0,2013-03-04 12:31:00,,2013-11-08 15:33:00,2013-11-08 15:33:00,,No error - works as designed,1.0,,,NAM,Wireless Network,telecom ticket under investigation | Wireless Network network slowdown affecting enterprise traffic | active outage affecting telecom services | further network analysis required | impacting subapplication services,0,3,Monday,12,5979.033333333334
WBA000124,application,Web Based Application,IM0000064,Closed,3,3,3.0,incident,closed,4.0,2013-03-05 13:58:00,,2013-11-08 15:35:00,2013-11-08 15:35:00,,Software,1.0,,2.0,EMEA,Core Network,network operations monitoring update | impacting application services | service instability reported | Core Network network latency impacting operations | further network analysis required,0,3,Tuesday,13,5953.616666666667
SBA000314,application,Server Based Application,IM0000067,Closed,5,5,5.0,incident,closed,25.0,2013-03-11 09:08:00,2013-10-08 09:14:00,2013-10-09 13:41:00,2013-10-09 13:41:00,,Other,2.0,,,APAC,Core Network,impacting application services | network degradation impacting enterprise traffic | ticket escalated to telecom support | telecom workflow activity detected | Core Network traffic congestion affecting node performance | ticket reassigned across multiple teams,1,3,Monday,9,5092.55
SUB000508,subapplication,Web Based Application,IM0000068,Closed,4,4,4.0,incident,closed,8.0,2013-03-12 09:54:00,,2013-11-08 15:34:00,2013-11-08 15:34:00,,No error - works as designed,1.0,,,APAC,Core Network,impacting subapplication services | Core Network connectivity fluctuations under investigation | monitoring ongoing service issue | telecom workflow activity detected | request raised for outage escalation support,0,3,Tuesday,9,5789.666666666667
WBA000124,application,Web Based Application,IM0000071,Closed,4,4,4.0,incident,closed,4.0,2013-03-15 15:25:00,2014-01-03 14:14:00,2014-01-06 11:50:00,2014-01-06 11:51:00,,Other,2.0,,,EMEA,Fiber Network,impacting application services | network operations monitoring update | Fiber Network network slowdown affecting enterprise traffic | monitoring ongoing service issue | urgent investigation required for telecom disruption,1,3,Friday,15,7124.433333333333
SAP000005,application,SAP,IM0000073,Closed,5,5,5.0,request for information,closed,30.0,2013-03-21 14:54:00,,2013-10-01 07:52:00,2013-10-01 07:52:00,,Other,1.0,,,EMEA,Wireless Network,engineering review in progress | ticket reassigned across multiple teams | ongoing operational activity observed | Wireless Network routing instability detected in network | guidance required regarding network instability | impacting application services,0,3,Thursday,14,4648.966666666666
SUB000508,subapplication,Web Based Application,IM0000074,Closed,3,3,3.0,incident,closed,15.0,2013-03-26 12:23:00,2014-03-24 12:35:00,2014-03-24 13:28:00,2014-03-24 13:28:00,,Other,2.0,1.0,1.0,APAC,Fiber Network,impacting subapplication services | clarification needed for ongoing connectivity issue | Fiber Network network slowdown affecting enterprise traffic | ongoing operational activity observed | monitoring ongoing service issue | ticket reassigned across multiple teams,1,3,Tuesday,12,8713.083333333334
SUB000456,subapplication,Web Based Application,IM0000075,Closed,4,4,4.0,incident,closed,9.0,2013-03-27 10:07:00,2013-04-10 09:15:00,2013-12-30 10:34:00,2013-12-30 10:36:00,37.655,Data,3.0,1.0,,EMEA,5G Network,telecom workflow activity detected | network degradation impacting enterprise traffic | 5G Network packet loss affecting telecom traffic | impacting subapplication services | engineering review in progress,1,3,Wednesday,10,6672.483333333334
SAP000004,application,SAP,IM0000078,Closed,5,5,5.0,request for information,closed,37.0,2013-04-03 12:11:00,,2013-10-17 11:43:00,2013-10-17 11:43:00,,Software,1.0,,,APAC,5G Network,5G Network connectivity fluctuations under investigation | service instability reported | ticket reassigned across multiple teams | requires infrastructure verification | ongoing operational activity observed | impacting application services,0,4,Wednesday,12,4727.533333333334
SAP000003,application,SAP,IM0000080,Closed,4,4,4.0,incident,closed,26.0,2013-04-04 12:33:00,2013-10-21 08:50:00,2014-01-16 14:20:00,2014-01-16 14:21:00,,Other,2.0,,,APAC,Fiber Network,impacting application services | telecom workflow activity detected | Fiber Network vpn disruption affecting connectivity | ticket reassigned across multiple teams | engineering review in progress | requesting update regarding ongoing issue,1,4,Thursday,12,6889.8
SBA000462,application,Server Based Application,IM0000081,Closed,4,3,3.0,incident,closed,7.0,2013-04-05 10:17:00,,2013-12-30 10:39:00,2013-12-30 10:40:00,,Other,1.0,,,APAC,5G Network,monitoring ongoing service issue | impacting application services | 5G Network telecom outage impacting regional services | urgent investigation required for telecom disruption | network operations monitoring update,0,4,Friday,10,6456.383333333333
WBA000133,application,Web Based Application,IM0000082,Closed,4,4,4.0,incident,closed,6.0,2013-04-05 10:19:00,2013-11-18 09:46:00,2013-12-05 12:00:00,2013-12-05 12:00:00,122.32,Other,2.0,,,APAC,Mobile Core,ticket escalated to telecom support | impacting application services | network issue impacting operations | Mobile Core intermittent wireless instability observed | ongoing operational activity observed,1,4,Friday,10,5857.683333333333
WBA000124,application,Web Based Application,IM0000083,Closed,4,4,4.0,incident,closed,2.0,2013-04-09 12:49:00,,2013-11-08 15:36:00,2013-11-08 15:36:00,,Software,1.0,,,NAM,Fiber Network,telecom ticket under investigation | monitoring ongoing service issue | Fiber Network network latency impacting operations | impacting application services | critical operational issue detected,0,4,Tuesday,12,5114.783333333334
WBA000082,application,Web Based Application,IM0000084,Closed,4,4,4.0,incident,closed,4.0,2013-04-10 13:20:00,,2013-11-08 15:41:00,2013-11-08 15:41:00,,No error - works as designed,1.0,,,APAC,Wireless Network,service instability reported | Wireless Network telecom outage impacting regional services | telecom ticket under investigation | ticket escalated to telecom support | impacting application services,0,4,Wednesday,13,5090.35
WBA000124,application,Web Based Application,IM0000085,Closed,3,4,3.0,incident,closed,4.0,2013-04-10 15:13:00,,2013-11-08 15:46:00,2013-11-08 15:46:00,,No error - works as designed,1.0,,,APAC,Wireless Network,telecom disruption identified | awaiting operational confirmation | network operations monitoring update | impacting application services | Wireless Network routing instability detected in network,0,4,Wednesday,15,5088.55
SAP000004,application,SAP,IM0000088,Closed,5,5,5.0,request for information,closed,32.0,2013-04-16 11:07:00,2013-11-12 12:04:00,2013-11-12 12:13:00,2013-11-12 12:13:00,,Other,2.0,1.0,,APAC,VPN Service,network operations monitoring update | awaiting operational confirmation | ticket reassigned across multiple teams | impacting application services | request raised for operational review | VPN Service intermittent wireless instability observed,1,4,Tuesday,11,5041.1
CBA000014,application,Client Based Application,IM0000089,Closed,4,4,4.0,incident,closed,9.0,2013-04-16 14:51:00,,2013-11-27 14:23:00,2013-11-27 14:23:00,,Software,14.0,1.0,,NAM,5G Network,5G Network vpn disruption affecting connectivity | telecom ticket under investigation | impacting application services | issue under telecom investigation | clarification needed for ongoing connectivity issue,0,4,Tuesday,14,5399.533333333334
SBA000045,application,Server Based Application,IM0000090,Closed,5,5,5.0,incident,closed,1.0,2013-04-17 09:06:00,,2014-01-22 16:19:00,2014-01-22 16:20:00,21.97,Unknown,1.0,1.0,1.0,EMEA,Wireless Network,network operations monitoring update | impacting application services | Wireless Network traffic congestion affecting node performance | monitoring ongoing service issue | requesting update regarding ongoing issue,0,4,Wednesday,9,6727.233333333334
SBA000172,application,Server Based Application,IM0000091,Closed,4,4,4.0,incident,closed,1.0,2013-04-17 14:31:00,,2013-10-08 11:19:00,2013-10-08 11:25:00,,Other,1.0,,,EMEA,Wireless Network,Wireless Network intermittent wireless instability observed | impacting application services | ongoing operational activity observed | telecom disruption identified | awaiting operational confirmation,0,4,Wednesday,14,4172.9
SBA000607,application,Server Based Application,IM0000092,Closed,5,5,5.0,request for information,closed,12.0,2013-04-17 16:20:00,,2014-01-30 09:19:00,2014-01-30 09:19:00,,Other,1.0,1.0,,APAC,Core Network,ticket reassigned across multiple teams | request raised for operational review | network operations monitoring update | Core Network connectivity fluctuations under investigation | engineering review in progress | impacting application services,0,4,Wednesday,16,6904.983333333334
SUB000002,subapplication,Citrix,IM0000094,Closed,4,4,4.0,incident,closed,4.0,2013-04-19 08:26:00,,2013-10-16 12:20:00,2013-10-16 12:20:00,,Software,2.0,,,LATAM,Wireless Network,Wireless Network telecom outage impacting regional services | awaiting operational confirmation | telecom workflow activity detected | active outage affecting telecom services | impacting subapplication services,0,4,Friday,8,4323.9
STA000033,application,Standard Application,IM0000095,Closed,4,4,4.0,incident,closed,8.0,2013-04-22 12:07:00,,2014-01-29 15:31:00,2014-01-29 15:31:00,,Software,1.0,,,APAC,5G Network,5G Network packet loss affecting telecom traffic | engineering review in progress | impacting application services | urgent investigation required for telecom disruption | telecom ticket under investigation,0,4,Monday,12,6771.4
WBA000133,application,Web Based Application,IM0000098,Closed,4,5,4.0,incident,closed,1.0,2013-04-24 15:24:00,,2013-10-12 16:28:00,2013-10-12 16:28:00,,Other,1.0,,,APAC,Core Network,Core Network intermittent wireless instability observed | issue under telecom investigation | network issue impacting operations | ongoing operational activity observed | impacting application services,0,4,Wednesday,15,4105.066666666667
SBA000782,application,Server Based Application,IM0000099,Closed,3,3,3.0,incident,closed,1.0,2013-04-25 10:20:00,,2013-12-09 14:32:00,2013-12-09 14:32:00,,Other,1.0,,,APAC,Core Network,issue under telecom investigation | telecom workflow activity detected | service instability reported | impacting application services | Core Network traffic congestion affecting node performance,0,4,Thursday,10,5476.2
WBA000124,application,Web Based Application,IM0000100,Closed,4,4,4.0,incident,closed,8.0,2013-04-25 14:37:00,,2013-11-12 13:32:00,2013-11-12 13:32:00,61.785,Other,1.0,1.0,,APAC,Core Network,Core Network routing instability detected in network | ticket escalated to telecom support | impacting application services | request raised for outage escalation support | ongoing operational activity observed,0,4,Thursday,14,4822.916666666667
WBA000116,application,Web Based Application,IM0000101,Closed,4,4,4.0,incident,closed,2.0,2013-04-25 14:51:00,,2013-11-12 13:25:00,2013-11-12 13:26:00,,Hardware,1.0,,,EMEA,Wireless Network,impacting application services | network degradation impacting enterprise traffic | Wireless Network traffic congestion affecting node performance | telecom workflow activity detected | engineering review in progress,0,4,Thursday,14,4822.583333333333
WBA000124,application,Web Based Application,IM0000103,Closed,4,4,4.0,incident,closed,4.0,2013-04-26 15:33:00,,2013-11-12 13:33:00,2013-11-12 13:33:00,,Other,1.0,,,EMEA,Fiber Network,active outage affecting telecom services | Fiber Network routing instability detected in network | impacting application services | requires infrastructure verification | telecom workflow activity detected,0,4,Friday,15,4798.0
WBA000124,application,Web Based Application,IM0000104,Closed,4,4,4.0,incident,closed,4.0,2013-05-01 11:47:00,,2013-11-12 13:34:00,2013-11-12 13:34:00,,Other,1.0,,,APAC,Core Network,impacting application services | Core Network service degradation impacting users | telecom ticket under investigation | urgent investigation required for telecom disruption | engineering review in progress,0,5,Wednesday,11,4681.783333333334
WBA000124,application,Web Based Application,IM0000105,Closed,5,5,5.0,incident,closed,9.0,2013-05-03 12:00:00,,2014-01-09 14:27:00,2014-01-09 14:27:00,,Software,1.0,,,APAC,Fiber Network,ongoing operational activity observed | impacting application services | request raised for outage escalation support | further network analysis required | Fiber Network connectivity fluctuations under investigation,0,5,Friday,12,6026.45
SUB000508,subapplication,Web Based Application,IM0000106,Closed,4,4,4.0,incident,closed,4.0,2013-05-06 10:11:00,,2013-11-12 13:35:00,2013-11-12 13:35:00,,Other,1.0,,,APAC,Core Network,network operations monitoring update | Core Network telecom outage impacting regional services | active outage affecting telecom services | issue under telecom investigation | impacting subapplication services,0,5,Monday,10,4563.4
WBA000124,application,Web Based Application,IM0000107,Closed,4,4,4.0,incident,closed,2.0,2013-05-06 13:50:00,,2013-11-12 14:03:00,2013-11-12 14:03:00,,Unknown,1.0,,,NAM,VPN Service,VPN Service vpn disruption affecting connectivity | request raised for outage escalation support | monitoring ongoing service issue | telecom ticket under investigation | impacting application services,0,5,Monday,13,4560.216666666666
SBA000458,application,Server Based Application,IM0000109,Closed,4,4,4.0,incident,closed,8.0,2013-05-07 11:44:00,,2013-12-20 15:33:00,2013-12-20 15:33:00,,Other,1.0,,,APAC,5G Network,5G Network network slowdown affecting enterprise traffic | urgent investigation required for telecom disruption | ongoing operational activity observed | awaiting operational confirmation | impacting application services,0,5,Tuesday,11,5451.816666666667
SBA000033,application,Server Based Application,IM0000110,Closed,4,4,4.0,incident,closed,3.0,2013-05-07 11:44:00,,2014-01-07 09:50:00,2014-01-07 09:50:00,,No error - works as designed,1.0,,,EMEA,Wireless Network,impacting application services | Wireless Network network slowdown affecting enterprise traffic | ongoing operational activity observed | engineering review in progress | urgent investigation required for telecom disruption,0,5,Tuesday,11,5878.1
WBA000124,application,Web Based Application,IM0000111,Closed,4,4,4.0,incident,closed,13.0,2013-05-07 14:04:00,,2013-12-05 11:19:00,2013-12-05 11:19:00,,Other,1.0,,,NAM,Mobile Core,Mobile Core network latency impacting operations | issue under telecom investigation | ticket reassigned across multiple teams | network operations monitoring update | telecom disruption identified | impacting application services,0,5,Tuesday,14,5085.25
CBA000014,application,Client Based Application,IM0000112,Closed,5,5,5.0,incident,closed,15.0,2013-05-07 15:04:00,2013-05-17 09:08:00,,2013-12-09 08:42:00,,Other,2.0,,,NAM,Wireless Network,requires infrastructure verification | clarification needed for ongoing connectivity issue | impacting application services | ticket reassigned across multiple teams | Wireless Network intermittent wireless instability observed | telecom workflow activity detected,1,5,Tuesday,15,5177.633333333333
WBA000124,application,Web Based Application,IM0000113,Closed,4,4,4.0,incident,closed,8.0,2013-05-07 15:12:00,,2013-12-05 11:15:00,2013-12-05 11:16:00,,Other,1.0,1.0,,EMEA,Wireless Network,ongoing operational activity observed | impacting application services | critical operational issue detected | requires infrastructure verification | Wireless Network telecom outage impacting regional services,0,5,Tuesday,15,5084.066666666667
